id,project_name,location,unit_measure,floors,units,total_flats,land_share_amount,first_sale_date,status,registration,created_at
proj-3dda5c46,Studio & Residence (345 - 1000) ,"Ashulia, Dhaka",345-1000,10,0,0,817000,2025-12-01,Active,Yes,2026-06-10T06:07:47.045Z
proj-44daace5,Regular Project (1100 - 1600+),"Ashulia, Dhaka",1100-1600,10,0,0,1520000,2025-01-01,Active,Yes,2026-06-10T06:08:53.425Z
proj-a1595ec5,Smart City (Studio) (610 - 1199) ,"Ashulia, Dhaka",610-1199,10,0,0,1618650,2025-01-01,Active,Yes,2026-06-10T06:09:52.183Z
proj-521a9794,Smart City (1200 - 1800),"Ashulia, Dhaka",1200-1800,10,0,0,1962000,2025-01-01,Active,Yes,2026-06-10T06:11:04.204Z
proj-09c364f0,Smart City (1900 - 5000),"Ashulia, Dhaka",1900-5000,10,0,0,5450000,2025-01-01,Active,Yes,2026-06-10T07:55:36.390Z
proj-dc321edd,Smart City (Commercial),"Ashulia, Dhaka",150-5000,10,0,0,7560000,2026-05-01,Active,Yes,2026-06-10T07:56:36.385Z
proj-09effd75,Residential Studio  (500 - 900) ,ATI Soceity,500-900,10,0,0,1125000,2025-05-01,Active,Yes,2026-06-10T07:57:37.122Z
proj-ce4b7f8c,Residential  (1000 - 1400),ATI Soceity ,1000-1400,10,0,0,1750000,2025-05-01,Active,Yes,2026-06-10T07:58:44.493Z
proj-bfe8b304,Residential  (1500 - 2500),ATI Soceity,1500-2500,10,0,0,3125000,2025-05-01,Active,Yes,2026-06-10T07:59:56.944Z
proj-86ae744b,Residential  (1500 - 2500),ATI Soceity,1500-2500,10,0,0,3125000,2025-05-01,Active,Yes,2026-06-10T07:59:58.432Z
proj-f9cfee23,Commercial (20K-24K),ATI Soceity,150-4000,10,0,0,2072125,2025-06-01,Active,Yes,2026-06-10T08:06:55.116Z
proj-9b852680,Commercial (25K-28K),ATI Soceity,100-400,10,0,0,2637096,2025-06-01,Active,Yes,2026-06-10T08:09:27.803Z
proj-5730b82f,Commercial (29K-30K),ATI Society,100-300,10,0,0,2629000,2025-06-01,Active,Yes,2026-06-10T08:10:29.744Z
proj-cae999a1,Residential (1550-  3200),Bashundhara,1550-3200,10,0,0,6519000,2025-06-01,Active,Yes,2026-06-10T08:11:10.893Z
